序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
24215,20:13:07.049,0x2634484,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 50 7A 42 A4 70 ED 42 
24216,20:13:07.049,0x2634499,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24217,20:13:07.049,0x26344AE,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 70 E9 42 
24218,20:13:07.108,0x263472D,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 85 2B 0C 43 E1 FA B4 42 
24219,20:13:07.108,0x2634742,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 3D AA BF 0A D7 03 C0 
24220,20:13:07.108,0x2634757,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 72 76 42 A4 70 ED 42 
24221,20:13:07.138,0x263476C,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24222,20:13:07.138,0x2634782,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 73 E6 42 
24223,20:13:07.199,0x2634A01,ch1,接收,0x0120,数据帧,标准帧,0x08,x| C3 35 0C 43 3D 0A B5 42 
24224,20:13:07.199,0x2634A16,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 66 A6 BF 00 00 10 C0 
24225,20:13:07.199,0x2634A2B,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 18 76 42 A4 70 ED 42 
24226,20:13:07.199,0x2634A40,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24227,20:13:07.199,0x2634A55,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 54 E7 42 
24228,20:13:07.259,0x2634CD4,ch1,接收,0x0120,数据帧,标准帧,0x08,x| A4 30 0C 43 3D 0A B5 42 
24229,20:13:07.259,0x2634CEA,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 1E A5 BF 5C 8F 12 C0 
24230,20:13:07.259,0x2634CFF,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 04 7B 42 A4 70 ED 42 
24231,20:13:07.259,0x2634D14,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24232,20:13:07.259,0x2634D29,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 05 EB 42 
24233,20:13:07.347,0x2634FA8,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 66 26 0C 43 5C 0F B5 42 
24234,20:13:07.347,0x2634FBD,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 70 9D BF 66 66 16 C0 
24235,20:13:07.347,0x2634FD2,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 25 80 42 A4 70 ED 42 
24236,20:13:07.347,0x2634FE7,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24237,20:13:07.347,0x2634FFD,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 32 EB 42 
24238,20:13:07.407,0x263527C,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 71 3D 0C 43 AE 47 B5 42 
24239,20:13:07.407,0x2635291,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 99 99 BF 48 E1 1A C0 
24240,20:13:07.407,0x26352A6,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 C6 7C 42 A4 70 ED 42 
24241,20:13:07.407,0x26352BB,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24242,20:13:07.407,0x26352D0,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 F7 E9 42 
24243,20:13:07.467,0x263554F,ch1,接收,0x0120,数据帧,标准帧,0x08,x| D7 63 0C 43 E1 7A B5 42 
24244,20:13:07.467,0x2635565,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 99 99 BF 7A 14 1E C0 
24245,20:13:07.497,0x263557A,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 BE 75 42 A4 70 ED 42 
24246,20:13:07.497,0x263558F,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24247,20:13:07.497,0x26355A4,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 FA E6 42 
24248,20:13:07.557,0x2635823,ch1,接收,0x0120,数据帧,标准帧,0x08,x| F6 68 0C 43 1F 85 B5 42 
24249,20:13:07.557,0x2635838,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 99 99 BF C2 F5 28 C0 
24250,20:13:07.557,0x263584D,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 D4 7D 42 A4 70 ED 42 
24251,20:13:07.557,0x2635862,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24252,20:13:07.557,0x2635877,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 9D E9 42 
24253,20:13:07.617,0x2635AF7,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 29 5C 0C 43 E1 7A B5 42 
24254,20:13:07.617,0x2635B0C,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 33 93 BF C2 F5 38 C0 
24255,20:13:07.617,0x2635B21,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 C6 7C 42 A4 70 ED 42 
24256,20:13:07.617,0x2635B36,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24257,20:13:07.648,0x2635B4B,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 F7 E9 42 
24258,20:13:07.708,0x2635DCA,ch1,接收,0x0120,数据帧,标准帧,0x08,x| B8 5E 0C 43 00 80 B5 42 
24259,20:13:07.708,0x2635DDF,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 EB 91 BF 3E 0A 47 C0 
24260,20:13:07.708,0x2635DF4,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 34 78 42 A4 70 ED 42 
