序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
18424,20:05:18.537,0x21BDDB2,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 E1 C2 C0 5C 8F BE C1 
18425,20:05:18.537,0x21BDDC7,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 86 71 42 00 80 ED 42 
18426,20:05:18.537,0x21BDDDC,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18427,20:05:18.537,0x21BDDF1,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 08 E8 42 
18428,20:05:18.597,0x21BE071,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 1F 45 05 43 33 B3 B3 42 
18429,20:05:18.597,0x21BE086,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 0A C7 C0 1E 85 BF C1 
18430,20:05:18.627,0x21BE09C,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 8C 6B 42 00 80 ED 42 
18431,20:05:18.627,0x21BE0B1,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18432,20:05:18.627,0x21BE0C6,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 CD E6 42 
18433,20:05:18.687,0x21BE346,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 1F 45 05 43 52 B8 B3 42 
18434,20:05:18.687,0x21BE35B,ch1,接收,0x0121,数据帧,标准帧,0x08,x| F0 51 C8 C0 CD CC C2 C1 
18435,20:05:18.687,0x21BE370,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 40 6C 42 00 80 ED 42 
18436,20:05:18.687,0x21BE385,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18437,20:05:18.687,0x21BE39A,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 81 E7 42 
18438,20:05:18.747,0x21BE61B,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 8F 42 05 43 33 B3 B3 42 
18439,20:05:18.747,0x21BE630,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 10 AE CF C0 AE 47 C5 C1 
18440,20:05:18.747,0x21BE645,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 E6 6B 42 00 80 ED 42 
18441,20:05:18.747,0x21BE65A,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18442,20:05:18.747,0x21BE66F,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 A0 E6 42 
18443,20:05:18.837,0x21BE8EF,ch1,接收,0x0120,数据帧,标准帧,0x08,x| E1 3A 05 43 D7 A3 B3 42 
18444,20:05:18.837,0x21BE904,ch1,接收,0x0121,数据帧,标准帧,0x08,x| F0 28 DC C0 1E 85 C5 C1 
18445,20:05:18.837,0x21BE919,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 64 75 42 00 80 ED 42 
18446,20:05:18.837,0x21BE92F,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18447,20:05:18.837,0x21BE944,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 F7 E9 42 
18448,20:05:18.897,0x21BEBC4,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 85 2B 05 43 3D 8A B3 42 
18449,20:05:18.897,0x21BEBD9,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 80 EB E9 C0 52 B8 C6 C1 
18450,20:05:18.897,0x21BEBEE,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 86 71 42 00 80 ED 42 
18451,20:05:18.897,0x21BEC03,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18452,20:05:18.897,0x21BEC18,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 E9 E8 42 
18453,20:05:18.957,0x21BEE98,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 1F 05 05 43 8F 42 B3 42 
18454,20:05:18.987,0x21BEEAE,ch1,接收,0x0121,数据帧,标准帧,0x08,x| B0 47 F1 C0 AE 47 C7 C1 
